"Marca temporal","Modalidad","Trabajo","Ciudad de trabajo (Ej.: Asunción)","Salario mensual","Puesto de trabajo (Ej.: Programador, Jefe de Proyecto, etc)"
"2018/09/10 8:46:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Líder desarrollador "
"2018/09/10 9:01:28 a.m. GMT-4","Presencial","Internacional","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador "
"2018/09/10 9:05:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 9:11:44 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 9:15:16 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de proyecto"
"2018/09/10 9:15:42 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 9:21:03 a.m. GMT-4","Presencial","Internacional","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de proyecto"
"2018/09/10 9:28:29 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Menos del salario mínimo (2.112.562 gs)","Tesista, investigador"
"2018/09/10 9:54:04 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Analista de Desarrollo BI"
"2018/09/10 10:03:27 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 10:06:34 a.m. GMT-4","Remoto","Nacional (Paraguay)","As","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/10 11:16:43 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Analista Desarrollador "
"2018/09/10 11:17:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Analista/Programador Senior"
"2018/09/10 11:17:57 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Full stack developer"
"2018/09/10 11:18:33 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 15.000.000 a 18.000.000 gs","CEO"
"2018/09/10 11:19:12 a.m. GMT-4","Remoto","Internacional","Las Vegas","Entre 15.000.000 a 18.000.000 gs","Senior developer"
"2018/09/10 11:19:23 a.m. GMT-4","Presencial","Nacional (Paraguay)","Caaguazu","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 11:19:25 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 11:20:32 a.m. GMT-4","Presencial","Nacional (Paraguay)","San Juan Bautista - Misiones","Entre 2.112.562 gs a 3.500.000 gs","Programador, Infraestructura"
"2018/09/10 11:20:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","programador/analista"
"2018/09/10 11:21:00 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 11:21:18 a.m. GMT-4","Presencial","Nacional (Paraguay)","Limpio","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 11:21:57 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/10 11:22:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 3.500.000 a 5.000.000 gs","Dev"
"2018/09/10 11:23:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Director desarrollo de sistemas informáticos."
"2018/09/10 11:23:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Infraestructura"
"2018/09/10 11:23:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:23:39 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Jefe de Proyectos"
"2018/09/10 11:24:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 11:24:40 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Analista "
"2018/09/10 11:24:44 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/10 11:24:48 a.m. GMT-4","Presencial","Nacional (Paraguay)","Luque","Entre 9.000.000 a 12.000.000 gs","Analista de Sistemas"
"2018/09/10 11:25:46 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Jefe de Proyecto"
"2018/09/10 11:26:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Developer"
"2018/09/10 11:26:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Analista, Programador"
"2018/09/10 11:26:09 a.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 2.112.562 gs a 3.500.000 gs","programador analista"
"2018/09/10 11:26:10 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:26:37 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Analista desarrollador"
"2018/09/10 11:28:14 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 11:28:16 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 11:28:19 a.m. GMT-4","Presencial","Nacional (Paraguay)","ñemby","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/10 11:28:22 a.m. GMT-4","Presencial","Internacional","Asunción","Entre 7.000.000 a 9.000.000 gs","Líder de Equipo de Desarrollo"
"2018/09/10 11:30:43 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/10 11:31:16 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista, Programador, Coordinador"
"2018/09/10 11:31:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 11:31:48 a.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 5.000.000 a 7.000.000 gs","Jefe"
"2018/09/10 11:31:53 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 11:33:28 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:33:36 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/09/10 11:34:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Luque","Entre 9.000.000 a 12.000.000 gs","Analista de Sistemas"
"2018/09/10 11:34:13 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Gerente de Tecnología"
"2018/09/10 11:35:24 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:35:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:35:53 a.m. GMT-4","Remoto","Nacional (Paraguay)","Fernando de la Mora","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 11:36:24 a.m. GMT-4","Presencial","Nacional (Paraguay)","asu","Entre 3.500.000 a 5.000.000 gs","programador"
"2018/09/10 11:37:25 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 11:38:01 a.m. GMT-4","Presencial","Internacional","Asunción","Entre 3.500.000 a 5.000.000 gs","programador"
"2018/09/10 11:38:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador"
"2018/09/10 11:39:26 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 11:42:42 a.m. GMT-4","Presencial","Nacional (Paraguay)","Hernandarias","Entre 3.500.000 a 5.000.000 gs","Desarrollador fullstack"
"2018/09/10 11:43:00 a.m. GMT-4","Presencial","Internacional","Asunción","Entre 7.000.000 a 9.000.000 gs","Desarrollador de Software"
"2018/09/10 11:43:40 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:45:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Analista Programador "
"2018/09/10 11:48:29 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:48:56 a.m. GMT-4","Presencial","Nacional (Paraguay)","San Lorenzo","Entre 5.000.000 a 7.000.000 gs","Jefe"
"2018/09/10 11:50:17 a.m. GMT-4","Presencial","Nacional (Paraguay)","Obligado - Itapua","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 11:51:32 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 11:55:52 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción ","Entre 12.000.000 a 15.000.000 gs","Consultor externo "
"2018/09/10 11:56:34 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 12.000.000 a 15.000.000 gs","Coordinador de área "
"2018/09/10 11:58:04 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador y analista"
"2018/09/10 11:58:14 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Jefe de proyecto "
"2018/09/10 11:58:32 a.m. GMT-4","Presencial","Internacional","Asunción","Entre 3.500.000 a 5.000.000 gs","Developer junior"
"2018/09/10 12:05:57 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador "
"2018/09/10 12:08:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Ciudad del Este","Entre 7.000.000 a 9.000.000 gs","Jefe de proyecto"
"2018/09/10 12:09:16 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista, Programador"
"2018/09/10 12:14:02 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyecto"
"2018/09/10 12:15:30 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 12:15:34 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Consultor"
"2018/09/10 12:22:38 p.m. GMT-4","Remoto","Nacional (Paraguay)","Cde","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 12:23:44 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/09/10 12:25:54 p.m. GMT-4","Presencial","Nacional (Paraguay)","Ciudad del este","Entre 2.112.562 gs a 3.500.000 gs","Analista"
"2018/09/10 12:27:06 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 12:28:41 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Analista/desarrollador"
"2018/09/10 12:34:29 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/09/10 12:35:44 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","programador"
"2018/09/10 12:36:15 p.m. GMT-4","Presencial","Nacional (Paraguay)","CDE","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 12:37:47 p.m. GMT-4","Remoto","Internacional","Asuncion","Entre 3.500.000 a 5.000.000 gs","Software engineer"
"2018/09/10 12:42:04 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 12:43:10 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 12:51:45 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Salario mínimo 2.112.562 gs","Analista"
"2018/09/10 12:52:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Menos del salario mínimo (2.112.562 gs)","Programador "
"2018/09/10 12:52:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Menos del salario mínimo (2.112.562 gs)","Programador "
"2018/09/10 12:52:37 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion ","Entre 2.112.562 gs a 3.500.000 gs","Programador "
"2018/09/10 12:55:16 p.m. GMT-4","Presencial","Nacional (Paraguay)","San Juan Bautista","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 12:57:04 p.m. GMT-4","Presencial","Internacional","Asunción","Entre 5.000.000 a 7.000.000 gs","Líder de Equipo"
"2018/09/10 1:03:30 p.m. GMT-4","Presencial","Nacional (Paraguay)","CDE","Entre 9.000.000 a 12.000.000 gs","Dev Full Stack"
"2018/09/10 1:05:54 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Ingeniero de Software"
"2018/09/10 1:10:15 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 1:15:17 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Analista"
"2018/09/10 1:17:32 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador/analista/debugger y a veces full stack"
"2018/09/10 1:17:36 p.m. GMT-4","Presencial","Nacional (Paraguay)","Lambare","Entre 3.500.000 a 5.000.000 gs","Programador "
"2018/09/10 1:35:37 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asncion","Entre 3.500.000 a 5.000.000 gs","Particular"
"2018/09/10 1:42:58 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Desarrollador de Sistemas"
"2018/09/10 1:43:08 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Ciudad del Este","Entre 12.000.000 a 15.000.000 gs","Programador"
"2018/09/10 1:51:36 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador Full Stack (Especializado en Frontend)"
"2018/09/10 1:52:28 p.m. GMT-4","Remoto","Nacional (Paraguay)","Alto Parana","Entre 3.500.000 a 5.000.000 gs","Programado"
"2018/09/10 1:54:56 p.m. GMT-4","Presencial","Internacional","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador Senior"
"2018/09/10 1:55:11 p.m. GMT-4","Presencial","Internacional","Asunción","Entre 5.000.000 a 7.000.000 gs","Desarrollador de software"
"2018/09/10 2:09:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Lider de Proyecto"
"2018/09/10 2:17:29 p.m. GMT-4","Remoto","Nacional (Paraguay)","Encarnacion","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/09/10 2:18:08 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 2:18:53 p.m. GMT-4","Presencial","Internacional","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 2:44:24 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","SysAdmin"
"2018/09/10 2:52:29 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 2:57:49 p.m. GMT-4","Hibrído","Internacional","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/10 3:05:49 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción. ","Entre 9.000.000 a 12.000.000 gs","Desarrollador "
"2018/09/10 3:22:38 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Desarrollador"
"2018/09/10 3:35:45 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 4:04:16 p.m. GMT-4","Presencial","Internacional","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/10 4:25:39 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 4:49:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 4:59:19 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Administrador de Sistemas"
"2018/09/10 5:32:29 p.m. GMT-4","Hibrído","Nacional (Paraguay)","encarnacion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 5:34:09 p.m. GMT-4","Presencial","Nacional (Paraguay)","Encarnación","Entre 3.500.000 a 5.000.000 gs","Analista de Sistema"
"2018/09/10 5:36:47 p.m. GMT-4","Remoto","Internacional","Asuncion","Más de 18.000.000 gs","Programador"
"2018/09/10 5:46:47 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","PM"
"2018/09/10 5:56:31 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/10 6:48:55 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 6:50:21 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/10 7:13:31 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de Proyectos / Coordinador de Sistemas"
"2018/09/10 7:26:54 p.m. GMT-4","Presencial","Nacional (Paraguay)","Ciudad del Este","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador BI"
"2018/09/10 7:51:42 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/10 7:55:37 p.m. GMT-4","Presencial","Nacional (Paraguay)","CDE","Entre 2.112.562 gs a 3.500.000 gs","Analista"
"2018/09/10 8:06:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador web"
"2018/09/10 8:13:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Menos del salario mínimo (2.112.562 gs)","Programador"
"2018/09/10 10:40:12 p.m. GMT-4","Presencial","Nacional (Paraguay)","Adicción","Entre 2.112.562 gs a 3.500.000 gs","Prig"
"2018/09/10 11:06:27 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Menos del salario mínimo (2.112.562 gs)","Programador"
"2018/09/10 11:40:38 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/11 12:09:47 p.m. GMT-4","Presencial","Nacional (Paraguay)","Capital","Entre 7.000.000 a 9.000.000 gs","Analista - Jefe Proyecto"
"2018/09/11 1:04:25 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador"
"2018/09/11 1:16:23 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/11 1:59:01 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Más de 18.000.000 gs","Full Stack"
"2018/09/11 2:24:58 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/11 2:51:49 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Desarrollador .Net"
"2018/09/11 2:58:21 p.m. GMT-4","Presencial","Internacional","asuncion","Entre 9.000.000 a 12.000.000 gs","co-team-lead"
"2018/09/11 3:00:05 p.m. GMT-4","Remoto","Internacional","Asunción","Más de 18.000.000 gs","Programador"
"2018/09/11 3:46:37 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Jefe de Ti"
"2018/09/11 10:12:10 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/11 10:17:47 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion ","Entre 7.000.000 a 9.000.000 gs","Jefe de proyecto"
"2018/09/11 10:18:56 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de Desarrollo"
"2018/09/11 10:30:22 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Programador "
"2018/09/12 12:43:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/12 6:46:48 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/12 7:43:25 a.m. GMT-4","Remoto","Nacional (Paraguay)","Capiata","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/12 8:10:42 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/12 8:50:29 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Gerente de Desarrollo"
"2018/09/12 8:57:08 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/12 9:00:35 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/12 9:01:08 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/12 9:07:47 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Más de 18.000.000 gs","Programador"
"2018/09/12 9:51:56 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/12 10:07:11 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Villarrica","Entre 2.112.562 gs a 3.500.000 gs","Analista - Desarrollador"
"2018/09/12 10:07:22 a.m. GMT-4","Presencial","Nacional (Paraguay)","guaira","Entre 3.500.000 a 5.000.000 gs","informatico"
"2018/09/12 11:17:03 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/12 11:19:22 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/12 11:41:28 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando De La Mora","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/12 11:41:43 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/12 11:52:00 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/12 12:30:45 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","UI/UX Designer"
"2018/09/12 1:09:20 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/12 1:15:19 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador full stack"
"2018/09/12 1:29:14 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/12 1:38:04 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Coordinador-Desarrollador"
"2018/09/12 2:00:03 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/12 2:11:50 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Salario mínimo 2.112.562 gs","Programadora"
"2018/09/12 3:30:13 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Sw Architect"
"2018/09/12 3:33:22 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/12 4:49:22 p.m. GMT-4","Hibrído","Internacional","Asuncion","Salario mínimo 2.112.562 gs","Programador"
"2018/09/12 4:50:03 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/12 4:50:25 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Jefe de proyecto, Programador, One man army"
"2018/09/13 1:10:45 p.m. GMT-4","Remoto","Nacional (Paraguay)","Fernando","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/13 1:42:59 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Encargado de Análisis y Desarrollo"
"2018/09/13 4:29:40 p.m. GMT-4","Presencial","Internacional","Asuncion","Más de 18.000.000 gs","Arquitectura digital"
"2018/09/13 4:30:17 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/13 8:22:48 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Desarrollador"
"2018/09/14 6:53:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/14 10:51:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
